postcode_district,total_properties,dominant_age_band,pre_1970_percentage,proxy_mode
TS19,19432,1950-1966,58.42,exclude_1967_1975
TS2,928,1930-1949,40.41,exclude_1967_1975
TS20,11317,1967-1975,50.46,exclude_1967_1975
TS21,6880,1950-1966,41.41,exclude_1967_1975
TS22,4528,unknown,21.40,exclude_1967_1975
TS23,14433,1950-1966,62.98,exclude_1967_1975
TS24,16211,1950-1966,55.24,exclude_1967_1975
TS25,20454,1950-1966,63.37,exclude_1967_1975
TS26,14791,1900-1929,49.33,exclude_1967_1975
TS27,6814,1930-1949,51.35,exclude_1967_1975
TS28,3513,1930-1949,57.47,exclude_1967_1975
TS29,3583,1950-1966,80.13,exclude_1967_1975
TS3,18191,1950-1966,69.35,exclude_1967_1975
TS4,10951,1950-1966,52.77,exclude_1967_1975
TS5,16964,1930-1949,61.67,exclude_1967_1975
TS6,15120,1950-1966,47.99,exclude_1967_1975
TS7,9292,1967-1975,32.32,exclude_1967_1975
TS8,11649,1976-1982,4.47,exclude_1967_1975
TS9,6334,1950-1966,48.82,exclude_1967_1975
TW1,14031,1900-1929,68.76,exclude_1967_1975
TW10,10187,before 1900,68.94,exclude_1967_1975
TW11,11936,1900-1929,54.63,exclude_1967_1975
TW12,10290,1900-1929,48.14,exclude_1967_1975
TW13,15069,1930-1949,49.88,exclude_1967_1975
TW14,11719,1930-1949,50.52,exclude_1967_1975
TW15,12506,1950-1966,59.95,exclude_1967_1975
TW16,10261,1950-1966,47.36,exclude_1967_1975
TW17,6159,1950-1966,51.79,exclude_1967_1975
TW18,14312,1950-1966,42.98,exclude_1967_1975
TW19,8481,1950-1966,43.37,exclude_1967_1975
TW2,12075,1930-1949,77.49,exclude_1967_1975
TW20,12374,1950-1966,41.74,exclude_1967_1975
TW3,19087,1930-1949,48.02,exclude_1967_1975
TW4,10293,1930-1949,50.91,exclude_1967_1975
TW5,9314,1930-1949,61.89,exclude_1967_1975
TW7,16689,1930-1949,46.46,exclude_1967_1975
TW8,15929,unknown,24.04,exclude_1967_1975
TW9,13204,1900-1929,64.14,exclude_1967_1975
UB1,13565,1930-1949,66.73,exclude_1967_1975
UB10,15487,1930-1949,55.58,exclude_1967_1975
UB2,13821,1930-1949,53.29,exclude_1967_1975
UB3,24425,1930-1949,46.59,exclude_1967_1975
UB4,15180,1930-1949,60.92,exclude_1967_1975
UB5,20595,1950-1966,50.97,exclude_1967_1975
UB6,20465,1930-1949,64.83,exclude_1967_1975
UB7,17171,1930-1949,43.63,exclude_1967_1975
UB8,16895,1930-1949,45.61,exclude_1967_1975
UB9,7468,1950-1966,50.74,exclude_1967_1975
W10,18339,before 1900,57.78,exclude_1967_1975
W11,20539,before 1900,72.86,exclude_1967_1975
W12,29945,1900-1929,72.13,exclude_1967_1975
W13,17313,1900-1929,62.61,exclude_1967_1975
W14,26614,before 1900,76.76,exclude_1967_1975
W1B,684,before 1900,64.77,exclude_1967_1975
W1C,30,2003-2006,26.67,exclude_1967_1975
W1D,1671,before 1900,70.56,exclude_1967_1975
W1F,2369,before 1900,48.75,exclude_1967_1975
W1G,2905,before 1900,85.30,exclude_1967_1975
W1H,6485,before 1900,80.26,exclude_1967_1975
W1J,2298,before 1900,75.37,exclude_1967_1975
W1K,3682,before 1900,80.93,exclude_1967_1975
W1S,690,before 1900,45.65,exclude_1967_1975
W1T,3876,before 1900,53.46,exclude_1967_1975
W1U,6365,before 1900,69.33,exclude_1967_1975
W1W,3380,before 1900,63.31,exclude_1967_1975
W2,39828,before 1900,70.88,exclude_1967_1975
W3,34672,1900-1929,52.75,exclude_1967_1975
W4,24483,1900-1929,69.84,exclude_1967_1975
W5,29514,1900-1929,64.19,exclude_1967_1975
W6,23306,1900-1929,69.57,exclude_1967_1975
W7,13316,1900-1929,62.80,exclude_1967_1975
W8,15426,before 1900,81.04,exclude_1967_1975
W9,23579,1900-1929,79.23,exclude_1967_1975
WA1,11851,1900-1929,48.76,exclude_1967_1975
WA10,22029,1900-1929,62.63,exclude_1967_1975
WA11,17127,1950-1966,60.37,exclude_1967_1975
WA12,12958,1930-1949,50.59,exclude_1967_1975
WA13,6180,1950-1966,46.78,exclude_1967_1975
WA14,14859,1900-1929,45.93,exclude_1967_1975
WA15,16141,1930-1949,67.01,exclude_1967_1975
WA16,11727,1950-1966,51.84,exclude_1967_1975
WA2,23395,1950-1966,49.65,exclude_1967_1975
WA3,21052,1950-1966,35.13,exclude_1967_1975
WA4,23944,1930-1949,53.45,exclude_1967_1975
WA5,26455,1930-1949,32.06,exclude_1967_1975
WA6,8162,1950-1966,50.66,exclude_1967_1975
WA7,29515,1967-1975,32.02,exclude_1967_1975
WA8,26870,1950-1966,46.62,exclude_1967_1975
WA9,28931,1950-1966,47.50,exclude_1967_1975
WC1,34,before 1900,82.35,exclude_1967_1975
WC1A,653,before 1900,66.31,exclude_1967_1975
WC1B,824,before 1900,81.19,exclude_1967_1975
WC1E,1207,before 1900,77.55,exclude_1967_1975
WC1H,5032,1900-1929,81.26,exclude_1967_1975
WC1N,3567,before 1900,73.65,exclude_1967_1975
WC1R,548,1900-1929,66.24,exclude_1967_1975
WC1V,238,1996-2002,24.37,exclude_1967_1975
WC1X,5249,before 1900,59.14,exclude_1967_1975
WC2A,392,unknown,12.50,exclude_1967_1975
WC2B,1660,1900-1929,52.95,exclude_1967_1975
WC2E,1347,before 1900,59.69,exclude_1967_1975
WC2H,2631,before 1900,59.94,exclude_1967_1975
WC2N,1051,before 1900,63.46,exclude_1967_1975
WC2R,597,unknown,19.60,exclude_1967_1975
WD17,10049,unknown,42.72,exclude_1967_1975
WD18,13685,1900-1929,39.99,exclude_1967_1975
WD19,12398,1950-1966,62.08,exclude_1967_1975
WD23,12196,1950-1966,47.24,exclude_1967_1975
WD24,10982,1930-1949,65.28,exclude_1967_1975
WD25,12631,1950-1966,51.41,exclude_1967_1975
WD3,17138,1930-1949,52.69,exclude_1967_1975
WD4,5281,1950-1966,49.10,exclude_1967_1975
WD5,4897,1950-1966,41.94,exclude_1967_1975
WD6,16684,1950-1966,45.31,exclude_1967_1975
WD7,5217,1950-1966,44.95,exclude_1967_1975
WF1,25019,1930-1949,54.66,exclude_1967_1975
WF10,31668,1930-1949,67.05,exclude_1967_1975
WF11,10765,1950-1966,60.97,exclude_1967_1975
WF12,13736,1950-1966,65.33,exclude_1967_1975
WF13,12410,1900-1929,55.67,exclude_1967_1975
WF14,8410,1950-1966,48.76,exclude_1967_1975
WF15,7174,1967-1975,49.37,exclude_1967_1975
WF16,5335,1900-1929,52.07,exclude_1967_1975
WF17,18586,1900-1929,58.16,exclude_1967_1975
WF2,29364,1930-1949,62.62,exclude_1967_1975
WF3,15413,1930-1949,44.21,exclude_1967_1975
WF4,21686,1930-1949,59.27,exclude_1967_1975
WF5,11247,1930-1949,54.69,exclude_1967_1975
WF6,12134,1950-1966,58.45,exclude_1967_1975
WF7,12723,1930-1949,57.34,exclude_1967_1975
WF8,20553,1930-1949,51.62,exclude_1967_1975
WF9,25110,1930-1949,60.70,exclude_1967_1975
WN1,10841,1900-1929,58.27,exclude_1967_1975
WN2,23327,1900-1929,52.17,exclude_1967_1975
WN3,12314,1967-1975,36.56,exclude_1967_1975
WN4,10387,1950-1966,57.60,exclude_1967_1975
WN5,19405,1950-1966,66.23,exclude_1967_1975
WN6,17726,1900-1929,53.95,exclude_1967_1975
WN7,24858,1900-1929,60.63,exclude_1967_1975
WN8,23725,1967-1975,25.91,exclude_1967_1975
WR1,8252,before 1900,47.42,exclude_1967_1975
WR10,9500,1950-1966,39.01,exclude_1967_1975
WR11,23404,unknown,36.86,exclude_1967_1975
WR12,3126,before 1900,47.86,exclude_1967_1975
WR13,3694,before 1900,47.37,exclude_1967_1975
WR14,18781,1950-1966,46.14,exclude_1967_1975
WR15,3279,before 1900,44.40,exclude_1967_1975
WR2,14992,1950-1966,45.00,exclude_1967_1975
WR3,9351,1900-1929,51.77,exclude_1967_1975
WR4,14097,1950-1966,33.71,exclude_1967_1975
WR5,16178,1950-1966,37.79,exclude_1967_1975
WR6,5599,before 1900,50.10,exclude_1967_1975
WR7,2189,1950-1966,43.76,exclude_1967_1975
WR8,3851,before 1900,48.64,exclude_1967_1975
WR9,15618,1967-1975,25.99,exclude_1967_1975
WS1,14237,1900-1929,64.74,exclude_1967_1975
WS10,22549,1930-1949,63.04,exclude_1967_1975
WS11,22203,1950-1966,42.80,exclude_1967_1975
WS12,15630,1967-1975,33.12,exclude_1967_1975
WS13,14842,1950-1966,28.89,exclude_1967_1975
WS14,7786,1983-1990,30.05,exclude_1967_1975
WS15,16385,1950-1966,41.75,exclude_1967_1975
WS2,21576,1950-1966,59.65,exclude_1967_1975
WS3,24098,1950-1966,62.06,exclude_1967_1975
WS4,7632,1950-1966,57.40,exclude_1967_1975
WS5,7888,1950-1966,55.20,exclude_1967_1975
WS6,6184,1950-1966,44.99,exclude_1967_1975
WS7,11175,1967-1975,36.36,exclude_1967_1975
WS8,6762,1950-1966,48.14,exclude_1967_1975
WS9,10708,1950-1966,53.78,exclude_1967_1975
WV1,8743,1950-1966,62.12,exclude_1967_1975
WV10,24488,1930-1949,57.73,exclude_1967_1975
WV11,14145,1950-1966,67.61,exclude_1967_1975
WV12,9428,1950-1966,50.76,exclude_1967_1975
WV13,10963,1930-1949,58.52,exclude_1967_1975
WV14,21605,1950-1966,56.29,exclude_1967_1975
WV15,3705,1950-1966,55.25,exclude_1967_1975
WV16,8597,before 1900,46.75,exclude_1967_1975
WV2,10148,1900-1929,59.25,exclude_1967_1975
WV3,14716,1900-1929,69.73,exclude_1967_1975
WV4,13132,1930-1949,64.88,exclude_1967_1975
WV5,6007,1950-1966,48.23,exclude_1967_1975
WV6,20496,1950-1966,46.09,exclude_1967_1975
WV7,3257,1950-1966,66.87,exclude_1967_1975
WV8,6381,1950-1966,42.60,exclude_1967_1975
WV9,2670,1976-1982,13.11,exclude_1967_1975
YO1,4999,before 1900,33.15,exclude_1967_1975
YO10,12907,1930-1949,59.74,exclude_1967_1975
YO11,16749,before 1900,62.54,exclude_1967_1975
YO12,20605,1900-1929,66.45,exclude_1967_1975
YO13,4932,before 1900,48.62,exclude_1967_1975
YO14,7350,1967-1975,44.57,exclude_1967_1975
YO15,9981,1900-1929,71.16,exclude_1967_1975
YO16,13561,1950-1966,45.79,exclude_1967_1975
YO17,12124,before 1900,51.11,exclude_1967_1975
YO18,6279,before 1900,45.01,exclude_1967_1975
YO19,5279,1967-1975,32.71,exclude_1967_1975
YO21,8740,before 1900,61.14,exclude_1967_1975
YO22,4923,before 1900,54.80,exclude_1967_1975
YO23,9270,before 1900,54.42,exclude_1967_1975
YO24,13542,1950-1966,52.95,exclude_1967_1975
YO25,17324,before 1900,41.79,exclude_1967_1975
YO26,13707,1950-1966,54.37,exclude_1967_1975
YO30,11927,1930-1949,49.95,exclude_1967_1975
YO31,14797,1930-1949,59.46,exclude_1967_1975
YO32,11582,1967-1975,30.45,exclude_1967_1975
YO41,4636,before 1900,30.44,exclude_1967_1975
YO42,8280,unknown,29.53,exclude_1967_1975
YO43,6324,1967-1975,28.84,exclude_1967_1975
YO51,3684,unknown,25.90,exclude_1967_1975
YO60,2454,before 1900,62.22,exclude_1967_1975
YO61,8247,before 1900,44.99,exclude_1967_1975
YO62,6443,before 1900,51.23,exclude_1967_1975
YO7,11531,before 1900,41.75,exclude_1967_1975
YO8,21555,unknown,32.28,exclude_1967_1975
